Variables,Zone,mean_vals_BP,mean_vals_W,sd_vals_BP,sd_vals_W
NN,Ambient,0.1511111111111111,0.16870967741935483,0.05411196332756185,0.0378366608360966
NN,Diffuse,2.0437142857142856,0.6446875,2.771031965037665,1.413410390315429
NN,Transition,8.8105,1.753125,9.67601292127246,2.506893745255271
Phosphate,Ambient,0.15000000000000002,0.11451612903225807,0.03955636336106924,0.01120675679442819
Phosphate,Diffuse,0.19,0.1346875,0.07933547533770012,0.08378098848938263
Phosphate,Transition,0.348,0.2075,0.22390317456201322,0.14919785521246612
Salinity,Ambient,34.65200562388889,34.59680236935484,0.012945174476135246,0.025349272711551397
Salinity,Diffuse,34.109759344857146,34.0688770053125,0.5129916506945214,1.1166981840748695
Salinity,Transition,32.7983196425,32.92098124875,1.6853765937995842,2.2422077574680612
Silicate,Ambient,1.5572222222222223,1.9196774193548387,0.31030924908123425,0.5767869847755336
Silicate,Diffuse,14.555428571428571,13.931875,12.296942552295418,25.408893215476425
Silicate,Transition,45.992,40.050625,40.40022701864304,51.01827717837991
TA,Ambient,2241.507847611111,2266.294640387097,63.537947440210395,23.761540435169
TA,Diffuse,2267.283827,2264.0638014375,47.728528359714,37.72792397768667
TA,Transition,2286.98322615,2260.3304719375,62.60782190493529,52.85169878962299
Temp_in,Ambient,24.67580547,24.619457316129033,0.5851621571888257,0.6819305437162139
Temp_in,Diffuse,24.644007764857143,24.260953154375,0.9852913482119708,0.7497790256527785
Temp_in,Transition,24.6998520115,24.02418485375,1.0763640317521026,0.9128667938391838
pH,Ambient,8.094909153944444,7.98558064516129,0.06744633242264099,0.0719341245833289
pH,Diffuse,8.089001299571429,7.9805625000000004,0.13097980555501051,0.06955663160332014
pH,Transition,8.0739665627,7.9878125,0.14563092471330488,0.07265555151994023
percent_sgd,Ambient,0.19612370544444443,0.2480203384516129,0.039081769428901514,0.0745202821752491
percent_sgd,Diffuse,1.8331774018857143,1.79998385009375,1.5487333189196406,3.282802740794335
percent_sgd,Transition,5.7924433249,5.1744993539375,5.088189800925959,6.591508679148194
